Nombre,Dirección,Servicios
Crossfight,"C. Virgen de Fátima 12
                                , Sevilla","Kick-boxing, Gimnasio, Vestuarios"
Club Boxeo Mano de Piedra Mairena del Aljarafe,"Calle Zurbarán 42a
                                , Mairena del Aljarafe","Actividades dirigidas, Boxeo, Entrenamientos personalizados, Gimnasio, Bar-restaurante, Vestuarios"
Brooklyn Fitboxing Sevilla - Nervion,"Av. San Francisco Javier 20
                                , Sevilla","Step, Boxeo, Entrenamiento Funcional, Gimnasio, Vestuarios"
Impulso Trainning,"Calle Almadén de la Plata 14
                                , Sevilla","CrossFit, Fisioterapeuta deportivo, Servicio de nutrición y dietética, Gimnasio, Vestuarios"
Galaxy CrossFit,"Calle Nivel 14
                                , Sevilla","CrossFit, Entrenamientos personalizados, Gimnasio, Vestuarios, Tienda deportiva"
BodyWorks System Training Fitness,"C. Geología 105
                                , Sevilla","Servicio de nutrición y dietética, Entrenamientos personalizados, Gimnasio, Vestuarios"
Sano Sevilla Este,"Av. de las Ciencias 36
                                , Sevilla","Tonificación, Fisioterapeuta deportivo, Servicio de nutrición y dietética, Gimnasio, Vestuarios"
InMuv Torre Sevilla,", Sevilla","Fisioterapeuta deportivo, Servicio de nutrición y dietética, Pilates, Gimnasio, Vestuarios"
Sano Mairena Del Aljarafe,"Av. de las Civilizaciones 101
                                , Mairena del Aljarafe","Gimnasio, Vestuarios"
Entrenadora Personal Sevilla,"Plaza Aviador Ruiz de Alda
                                , Sevilla","Actividades dirigidas, HIIT, Pilates, Gimnasio, Vestuarios"
Personal Gym,"Calle Alcalá y Ortí 11
                                , Alcalá de Guadaíra","Entrenamientos personalizados, Gimnasio, Aparcamiento, Vestuarios"
Crossfit Montequinto,"C. Vía Apia 33
                                , Dos Hermanas","CrossFit, Step, Gimnasio, Vestuarios"
Entrenador Personal y Nutrición Carlos del Pino Profitness,"Av. Mariana de Pineda 52
                                , Mairena del Aljarafe","Tonificación, Fisioterapeuta deportivo, Servicio de nutrición y dietética, Gimnasio, Vestuarios"
M3fitness,"Calle Rosa nº 4
                                , Camas","Boxeo, Pilates, Zumba, Gimnasio, Vestuarios, Sala de spinning"
CrossFit® Viapol,"C. Balbino Marrón 8
                                , Sevilla","CrossFit, Actividades dirigidas, Zumba, Gimnasio, Vestuarios"
CrossFit Sevilla,"Av. Santa Clara de Cuba 12
                                , Sevilla","CrossFit, Gimnasio, Vestuarios"
PHYSIC PERSONAL TRAINER,"Calle Jiménez Aranda 19
                                , Sevilla","Servicio de nutrición y dietética, Pilates, Entrenamientos personalizados, Gimnasio, Vestuarios"
Cubofit Sevilla,"Av. Santiago Montoto
                                , Sevilla","Entrenamiento Funcional, Gimnasio, Vestuarios"
Entrena2 Fitness club,"Calle Andrés Martínez León 1
                                , Sevilla",Gimnasio
Escuela Boxeo JR Andrades,"Calle Gavia del Gitano
                                , Camas","Boxeo, Gimnasio"
Gimnasio en Sevilla Century Fitness,"Av. Alcalde Manuel del Valle 50
                                , Sevilla","Fisioterapeuta deportivo, Servicio de nutrición y dietética, Boxeo, Gimnasio"
Capacity Fisioterapia y Entrenamiento personal en sevilla,"Módulo 29
                                , Sevilla","Fisioterapeuta deportivo, Entrenamientos personalizados, Gimnasio"
Gimnasio Olympus Olivares,"Calle los Girasoles 3
                                , Olivares","Gimnasio, Sala de spinning"
FABRIK Fitness Experience,"Av. de la Industria s/n
                                , Gines",Gimnasio
Ensa Athletic Center Gines,"Av. de la Industria s/n
                                , Gines",Gimnasio
élitefit,"Calle Benito Pérez Galdós 12
                                , La Rinconada","Zumba, Gimnasio"
Entrenat,"Calle Mamá Margarita 11
                                , Sevilla","Servicio de nutrición y dietética, Gimnasio"
Sport Balance - Entrenador Personal y Electroestimulación,", Gines","Entrenamientos personalizados, Gimnasio"
Gimnasio y Clínica Deportiva Credus,"Calle Japón 6
                                , Sevilla","Fisioterapeuta deportivo, Gimnasio"
